H6194	עָרֵם	ʿārēm	아렘	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H6049	עָנַן	ʿānan	아난	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H6116	עֲצָרָה	ʿăṣārâ	아차라	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H5327	נָצָה	nāṣâ	나차	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H5550	סֹלְלָה	sōlĕlâ	솔렐라	네 모델 중 3개가 같은 음역안을 냈다.
H7247	רִבְלָה	riblâ	리블라	네 모델 중 3개가 같은 음역안을 냈다.
H1920	הָדַף	hādap	하다프	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H182	אוֹדוֹת	ʾôdôt	오도트	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H6936	קׇדְקֹד	qodqōd	코드코드	네 모델 중 3개가 같은 음역안을 냈다.
H6141	עִקֵּשׁ	ʿiqqēš	이케쉬	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H355	אַיָּלָה	ʾayyālâ	아얄라	네 모델 중 3개가 같은 음역안을 냈다.
H7554	רָקַע	rāqaʿ	라카	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H781	אָרַשׂ	ʾāraś	아라스	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H2557	חָמֵץ	ḥāmēṣ	하메츠	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H5791	עָוַת	ʿāwat	아와트	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H7144	קׇרְחָה	qorḥâ	코르하	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H1351	גָּאַל	gāʾal	가알	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H2748	חַרְטֹם	ḥarṭōm	하르톰	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H5810	עָזַז	ʿāzaz	아자즈	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H2610	חָנֵף	ḥānēp	하네프	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H3202	יְכֵל	yĕkēl	예켈	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H5312	נְפַק	nĕpaq	네파크	네 모델 중 3개가 같은 음역안을 냈다.
H927	בְּהַל	bĕhal	베할	네 모델 중 3개가 같은 음역안을 냈다.
H7308	רוּחַ	rûaḥ	루아흐	네 모델이 독립으로 만든 음역안이 모두 일치했다. furtive patach 적용
H5308	נְפַל	nĕpal	네팔	네 모델 중 3개가 같은 음역안을 냈다.
H4083	מְדִינָה	mĕdînâ	메디나	네 모델 중 3개가 같은 음역안을 냈다.
H8532	תְּלָת	tĕlāt	텔라트	네 모델 중 3개가 같은 음역안을 냈다.
H1625	גֵּרָה	gērâ	게라	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H868	אֶתְנַן	ʾetnan	에트난	네 모델이 독립으로 만든 음역안이 모두 일치했다.
H2180	זָנָב	zānāb	자나브	네 모델이 독립으로 만든 음역안이 모두 일치했다.
